n:73 mse_avg:40.47 mse_y:41.57 mse_u:51.24 mse_v:25.30 psnr_avg:44.13 psnr_y:44.01 psnr_u:43.10 psnr_v:46.17 
n:74 mse_avg:18114.67 mse_y:25189.72 mse_u:5894.15 mse_v:2035.02 psnr_avg:17.62 psnr_y:16.19 psnr_u:22.49 psnr_v:27.11 
n:75 mse_avg:22451.74 mse_y:31253.30 mse_u:7384.59 mse_v:2312.65 psnr_avg:16.69 psnr_y:15.25 psnr_u:21.51 psnr_v:26.56 
n:76 mse_avg:41926.23 mse_y:52176.48 mse_u:11363.52 mse_v:31487.93 psnr_avg:13.97 psnr_y:13.02 psnr_u:19.64 psnr_v:15.22 
n:77 mse_avg:117.15 mse_y:106.98 mse_u:161.30 mse_v:113.68 psnr_avg:39.51 psnr_y:39.90 psnr_u:38.12 psnr_v:39.64 
n:78 mse_avg:17437.58 mse_y:22336.89 mse_u:6555.06 mse_v:8722.86 psnr_avg:17.78 psnr_y:16.71 psnr_u:22.03 psnr_v:20.79 
n:79 mse_avg:23802.17 mse_y:30298.33 mse_u:4851.40 mse_v:16768.30 psnr_avg:16.43 psnr_y:15.38 psnr_u:23.34 psnr_v:17.95 
n:80 mse_avg:25279.30 mse_y:34878.13 mse_u:4676.22 mse_v:7487.05 psnr_avg:16.17 psnr_y:14.77 psnr_u:23.50 psnr_v:21.45 
n:81 mse_avg:75.38 mse_y:84.81 mse_u:82.69 mse_v:30.37 psnr_avg:41.42 psnr_y:40.91 psnr_u:41.02 psnr_v:45.37 
n:82 mse_avg:42305.07 mse_y:53267.02 mse_u:14891.29 mse_v:25871.06 psnr_avg:13.93 psnr_y:12.93 psnr_u:18.47 psnr_v:16.07 
n:83 mse_avg:23397.81 mse_y:33102.28 mse_u:7461.33 mse_v:516.43 psnr_avg:16.51 psnr_y:15.00 psnr_u:21.47 psnr_v:33.07 
n:84 mse_avg:41004.45 mse_y:58275.98 mse_u:11758.93 mse_v:1163.82 psnr_avg:14.07 psnr_y:12.54 psnr_u:19.49 psnr_v:29.54 
n:85 mse_avg:17.16 mse_y:17.78 mse_u:19.77 mse_v:12.04 psnr_avg:47.85 psnr_y:47.70 psnr_u:47.24 psnr_v:49.39 
n:86 mse_avg:5509.43 mse_y:7524.66 mse_u:1711.14 mse_v:1246.83 psnr_avg:22.79 psnr_y:21.43 psnr_u:27.86 psnr_v:29.24 
n:87 mse_avg:7462.35 mse_y:10239.82 mse_u:2404.53 mse_v:1410.31 psnr_avg:21.47 psnr_y:20.09 psnr_u:26.39 psnr_v:28.70 
n:88 mse_avg:27907.12 mse_y:40870.58 mse_u:1960.45 mse_v:1999.94 psnr_avg:15.74 psnr_y:14.08 psnr_u:27.27 psnr_v:27.19 
n:89 mse_avg:55.51 mse_y:62.57 mse_u:70.65 mse_v:12.17 psnr_avg:42.75 psnr_y:42.23 psnr_u:41.71 psnr_v:49.35 
n:90 mse_avg:26013.09 mse_y:38010.49 mse_u:3455.88 mse_v:580.69 psnr_avg:16.05 psnr_y:14.40 psnr_u:24.81 psnr_v:32.56 
n:91 mse_avg:25413.68 mse_y:37179.23 mse_u:3214.29 mse_v:550.83 psnr_avg:16.15 psnr_y:14.49 psnr_u:25.13 psnr_v:32.79 
n:92 mse_avg:50391.93 mse_y:74210.34 mse_u:2962.31 mse_v:2547.90 psnr_avg:13.17 psnr_y:11.49 psnr_u:25.48 psnr_v:26.14 
n:93 mse_avg:58.62 mse_y:65.92 mse_u:64.83 mse_v:23.17 psnr_avg:42.52 psnr_y:42.01 psnr_u:42.08 psnr_v:46.55 
n:94 mse_avg:17674.50 mse_y:25718.78 mse_u:2212.17 mse_v:959.69 psnr_avg:17.72 psnr_y:16.10 psnr_u:26.75 psnr_v:30.38 
n:95 mse_avg:18616.75 mse_y:25580.83 mse_u:1466.29 mse_v:7910.89 psnr_avg:17.50 psnr_y:16.12 psnr_u:28.54 psnr_v:21.22 
n:96 mse_avg:15248.34 mse_y:20807.26 mse_u:3955.02 mse_v:4305.97 psnr_avg:18.37 psnr_y:17.02 psnr_u:24.23 psnr_v:23.86 
n:97 mse_avg:102.22 mse_y:111.82 mse_u:120.39 mse_v:45.64 psnr_avg:40.10 psnr_y:39.71 psnr_u:39.39 psnr_v:43.60 
n:98 mse_avg:15032.52 mse_y:19294.24 mse_u:4852.45 mse_v:8165.71 psnr_avg:18.43 psnr_y:17.34 psnr_u:23.34 psnr_v:21.08 
n:99 mse_avg:17858.57 mse_y:24763.32 mse_u:5159.87 mse_v:2938.24 psnr_avg:17.68 psnr_y:16.26 psnr_u:23.07 psnr_v:25.52 
n:100 mse_avg:27864.34 mse_y:38300.33 mse_u:9428.99 mse_v:4555.76 psnr_avg:15.75 psnr_y:14.37 psnr_u:20.45 psnr_v:23.61 
n:101 mse_avg:25.82 mse_y:24.90 mse_u:36.96 mse_v:18.38 psnr_avg:46.08 psnr_y:46.24 psnr_u:44.52 psnr_v:47.55 
n:102 mse_avg:16564.00 mse_y:22970.56 mse_u:3689.34 mse_v:3812.42 psnr_avg:18.01 psnr_y:16.59 psnr_u:24.53 psnr_v:24.39 
n:103 mse_avg:21366.98 mse_y:30335.15 mse_u:4209.58 mse_v:2651.71 psnr_avg:16.90 psnr_y:15.38 psnr_u:23.96 psnr_v:25.96 
n:104 mse_avg:25157.23 mse_y:28776.59 mse_u:4037.03 mse_v:31799.95 psnr_avg:16.19 psnr_y:15.61 psnr_u:24.14 psnr_v:15.17 
n:105 mse_avg:59.00 mse_y:59.47 mse_u:75.16 mse_v:40.98 psnr_avg:42.49 psnr_y:42.45 psnr_u:41.44 psnr_v:44.07 
n:106 mse_avg:19237.32 mse_y:26899.66 mse_u:3445.61 mse_v:4379.69 psnr_avg:17.36 psnr_y:15.90 psnr_u:24.82 psnr_v:23.78 
n:107 mse_avg:29436.69 mse_y:35811.99 mse_u:5706.89 mse_v:27665.30 psnr_avg:15.51 psnr_y:14.66 psnr_u:22.63 psnr_v:15.78 
